Coupling,SF,NH,y1,y2,y3,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72
Coupling,S(VI)F_label,Amine Label,%Yield,Success (>70%),Hit,SF HOMO,SF LUMO,SF Mu,SF Eta,SF Omega,S NBO charge,S NMR shift,SF 19F NMR shift,SF L,SF Bmin,SF Bmax,SF L_wsd,SF L_max,SF L_min,SF L_range,SF Bmin_wsd,SF Bmin_max,SF Bmin_min,SF Bmin_range,SF Bmax_wsd,SF Bmax_max,SF Bmax_min,SF Bmax_range,SF bv225,SF bv250,SF bv275,SF bv300,SF bv225_wsd,SF bv225_max,SF bv225_min,SF bv225_range,SF bv250_wsd,SF bv250_max,SF bv250_min,SF bv250_range,SF bv275_wsd,SF bv275_max,SF bv275_min,SF bv275_range,SF bv300_wsd,SF bv300_max,SF bv300_min,SF bv300_range,Amine HOMO,Amine LUMO,Amine Mu,Amine Eta,Amine Omega,Amine N NBO charge,Amine N NMR shift,Amine N NBO LPE,Amine N Vmin,Amine bv225,Amine bv250,Amine bv275,Amine bv300,Amine bv225_wsd,Amine bv225_max,Amine bv225_min,Amine bv225_range,Amine bv250_wsd,Amine bv250_max,Amine bv250_min,Amine bv250_range,Amine bv275_wsd,Amine bv275_max,Amine bv275_min,Amine bv275_range,Amine bv300_wsd,Amine bv300_max,Amine bv300_min,Amine bv300_range
SFI_NHAA,SFI,NHAA,90%,1,1,-0.33236,-0.04975,-0.19106,0.28261,0.06458,2.52936,56.3864,30.2874,6.172108518,2.276750554,7.595475326,0.115506974,6.3,6.15,0.15,0.204002225,2.315709567,2.05,0.265709567,0.038527693,7.602631123,7.550662223,0.0519689,84.48891395,75.13226679,65.48197479,55.65134535,0.159420314,84.49784176,84.14407626,0.3537655,0.169069618,75.14299856,74.77424447,0.36875409,0.16814596,65.49844855,65.16413684,0.33431171,0.164223878,55.66862748,55.34940572,0.31922176,-0.28255,0.01043,-0.13606,0.29298,0.03159,-0.64105,220.0129,-0.36966,-0.1033,70.27691207,62.88618106,56.75110512,51.03170862,0.255491115,70.304747,69.943428,0.361319,0.34527812,62.923798,62.435501,0.488297,0.421323919,56.797007,56.201165,0.595842,0.360913665,51.071029,50.56062,0.510409
SFP_NHAB,SFP,NHAB,99%,1,1,-0.29742,-0.02467,-0.16105,0.27275,0.04754,2.52932,52.4498,37.5051,8.441626975,2.22195074,11.01181469,1.353766571,11,6.2,4.8,0.128071391,2.314147026,2.047097528,0.267049498,1.253781103,11.79597389,8.065358021,3.730615869,84.48714995,75.11044734,65.43186331,55.61893612,0.147048733,85.47805675,84.42471755,1.0533392,0.168594723,76.25610397,75.0350221,1.22108187,0.147652044,66.42438848,65.3469537,1.07743478,0.101192182,56.2789396,55.51556273,0.76337687,-0.28392,0.07522,-0.10435,0.35914,0.01516,-0.64906,194.8063,-0.35751,-0.1148,72.79467525,65.82568067,59.86487997,54.09378705,0.378548635,72.85165765,72.2479731,0.60368455,0.473194137,65.89587422,65.13300856,0.76286566,0.507604438,59.94265894,59.14418969,0.79846925,0.4806274,54.16586473,53.39723027,0.76863446
SFT_NHAD,SFT,NHAD,89%,1,1,-0.33001,-0.04372,-0.18687,0.28629,0.06098,2.3844,67.9608,60.8723,8.254124152,2.194860415,3.832242052,0.035355339,8.3,8.25,0.05,0.101968039,2.327170568,2.182965984,0.144204584,0.004385198,3.832753579,3.826551973,0.006201606,86.16626262,77.53632423,68.39783287,58.95607172,0.066114003,86.17397473,86.08047541,0.09349932,0.047480021,77.54186271,77.47471582,0.06714689,0.028788156,68.40119097,68.36047837,0.0407126,0.037560918,58.96045315,58.90733399,0.05311916,-0.27366,-0.05242,-0.16304,0.22124,0.06008,-0.6452,215.9219,-0.37843,-0.0905,69.9747399,62.60658629,56.53534779,50.91165248,0.059891893,70.34692,69.85554,0.49138,0.076497552,63.159967,62.369498,0.790469,0.143808852,57.286884,56.089422,1.197462,0.252057201,51.939466,50.28228,1.657186
SFQ_NHB,SFQ,NHB,94%,1,1,-0.33085,-0.02982,-0.18033,0.30103,0.05402,2.37789,61.3993,62.5796,6.7,2.023436647,3.231098884,0,6.7,6.7,0,0,2.023436647,2.023436647,0,0,3.231098884,3.231098884,0,85.41109958,76.50458384,67.16938761,57.57644136,0,85.41109958,85.41109958,0,0,76.50458384,76.50458384,0,0,67.16938761,67.16938761,0,0,57.57644136,57.57644136,0,-0.25185,0.02375,-0.11405,0.2756,0.0236,-0.82182,189.3832,-0.31319,-0.0554,58.55166043,49.44446161,42.8013678,37.59321187,0.017849496,58.576895,58.551652,0.025243,0.026691867,49.482197,49.444449,0.037748,0.022866419,42.833695,42.801357,0.032338,0.020882277,37.622734,37.593202,0.029532
SFU_NHB,SFU,NHB,78%,1,1,-0.26761,-0.01551,-0.14156,0.2521,0.03974,2.46421,36.6908,86.5404,9.553818604,2.107604924,6.870963379,2.253454214,11.45,5.4,6.05,0.146904527,2.327536078,2.025745242,0.301790836,2.035122391,9.915644205,5.259515187,4.656129018,85.42410504,76.83303592,67.9200952,58.71358138,0.155932426,85.90057178,85.26549611,0.63507567,0.397646501,77.75344204,76.56136824,1.1920738,0.720229665,69.35908742,67.42756615,1.93152127,1.023015956,60.57646572,58.0351138,2.54135192,-0.25185,0.02375,-0.11405,0.2756,0.0236,-0.82182,189.3832,-0.31319,-0.0554,58.55166043,49.44446161,42.8013678,37.59321187,0.017849496,58.576895,58.551652,0.025243,0.026691867,49.482197,49.444449,0.037748,0.022866419,42.833695,42.801357,0.032338,0.020882277,37.622734,37.593202,0.029532
SFM_NHJ,SFM,NHJ,71%,1,1,-0.28967,-0.02259,-0.15613,0.26708,0.04564,2.52749,51.4246,39.232,6.199262487,2.222333963,7.73965718,0.388913578,7.25,5.6,1.65,0.136484267,2.313109357,2.048466282,0.264643075,0.267423401,8.04767047,6.956471807,1.091198663,84.45512696,75.07804457,65.40436861,55.58429047,0.020254897,84.48864946,84.42278578,0.06586368,0.033723149,75.12537843,75.03115372,0.09422471,0.03973782,65.43651206,65.34623783,0.09027423,0.05501353,55.64124517,55.50762247,0.1336227,-0.27014,0.02004,-0.12505,0.29018,0.02694,-0.86004,213.0224,-0.3885,-0.1131,61.90423907,53.90967317,48.1311713,43.4937115,0.061349093,61.92241,61.798921,0.123489,0.042211373,53.921792,53.843037,0.078755,0.021299655,48.145501,48.099219,0.046282,0.024885813,43.529706,43.484849,0.044857
SFU_NHJ,SFU,NHJ,91%,1,1,-0.26761,-0.01551,-0.14156,0.2521,0.03974,2.46421,36.6908,86.5404,9.553818604,2.107604924,6.870963379,2.253454214,11.45,5.4,6.05,0.146904527,2.327536078,2.025745242,0.301790836,2.035122391,9.915644205,5.259515187,4.656129018,85.42410504,76.83303592,67.9200952,58.71358138,0.155932426,85.90057178,85.26549611,0.63507567,0.397646501,77.75344204,76.56136824,1.1920738,0.720229665,69.35908742,67.42756615,1.93152127,1.023015956,60.57646572,58.0351138,2.54135192,-0.27014,0.02004,-0.12505,0.29018,0.02694,-0.86004,213.0224,-0.3885,-0.1131,61.90423907,53.90967317,48.1311713,43.4937115,0.061349093,61.92241,61.798921,0.123489,0.042211373,53.921792,53.843037,0.078755,0.021299655,48.145501,48.099219,0.046282,0.024885813,43.529706,43.484849,0.044857
SFI_NHK,SFI,NHK,98%,1,1,-0.33236,-0.04975,-0.19106,0.28261,0.06458,2.52936,56.3864,30.2874,6.172108518,2.276750554,7.595475326,0.115506974,6.3,6.15,0.15,0.204002225,2.315709567,2.05,0.265709567,0.038527693,7.602631123,7.550662223,0.0519689,84.48891395,75.13226679,65.48197479,55.65134535,0.159420314,84.49784176,84.14407626,0.3537655,0.169069618,75.14299856,74.77424447,0.36875409,0.16814596,65.49844855,65.16413684,0.33431171,0.164223878,55.66862748,55.34940572,0.31922176,-0.2632,-0.01277,-0.13798,0.25043,0.03801,-0.64551,215.6528,-0.37664,-0.1006,70.02180472,62.70242774,56.64271677,51.01006458,0.031718676,70.224518,69.69291,0.531608,0.075003277,63.004717,62.377997,0.62672,0.140905744,57.125037,56.216559,0.908478,0.204452054,51.757806,50.401629,1.356177
SFL_NHK,SFL,NHK,100%,1,1,-0.29637,-0.0304,-0.16339,0.26597,0.05018,2.52846,53.0242,35.8047,7.85840489,2.243027131,9.752308662,1.738482262,10.25,6.35,3.9,0.153458258,2.314057796,2.050215892,0.263841904,1.007649117,10.61249264,8.223898102,2.388594538,84.48242947,75.10873758,65.43537746,55.61581406,0.050195354,84.51242127,84.406991,0.10543027,0.062620776,75.15232016,75.02059241,0.13172775,0.060377525,65.46464577,65.34430868,0.12033709,0.075277953,55.65401395,55.51150749,0.14250646,-0.2632,-0.01277,-0.13798,0.25043,0.03801,-0.64551,215.6528,-0.37664,-0.1006,70.02180472,62.70242774,56.64271677,51.01006458,0.031718676,70.224518,69.69291,0.531608,0.075003277,63.004717,62.377997,0.62672,0.140905744,57.125037,56.216559,0.908478,0.204452054,51.757806,50.401629,1.356177
SFN_NHK,SFN,NHK,99%,1,1,-0.31544,-0.05429,-0.18487,0.26115,0.06543,2.52941,55.0617,32.4112,7.533406465,2.229688007,10.36600025,0.669872963,8.95,7.05,1.9,0.162232422,2.309745076,2.050305071,0.259440005,0.352008681,10.67941946,9.722268254,0.957151206,84.5030397,75.13765967,65.46362637,55.64586797,0.047811359,84.52863306,84.4305684,0.09806466,0.070478665,75.18054836,75.04433776,0.1362106,0.067958828,65.51192263,65.37453998,0.13738265,0.080310172,55.70725243,55.53509147,0.17216096,-0.2632,-0.01277,-0.13798,0.25043,0.03801,-0.64551,215.6528,-0.37664,-0.1006,70.02180472,62.70242774,56.64271677,51.01006458,0.031718676,70.224518,69.69291,0.531608,0.075003277,63.004717,62.377997,0.62672,0.140905744,57.125037,56.216559,0.908478,0.204452054,51.757806,50.401629,1.356177
SFQ_NHK,SFQ,NHK,94%,1,1,-0.33085,-0.02982,-0.18033,0.30103,0.05402,2.37789,61.3993,62.5796,6.7,2.023436647,3.231098884,0,6.7,6.7,0,0,2.023436647,2.023436647,0,0,3.231098884,3.231098884,0,85.41109958,76.50458384,67.16938761,57.57644136,0,85.41109958,85.41109958,0,0,76.50458384,76.50458384,0,0,67.16938761,67.16938761,0,0,57.57644136,57.57644136,0,-0.2632,-0.01277,-0.13798,0.25043,0.03801,-0.64551,215.6528,-0.37664,-0.1006,70.02180472,62.70242774,56.64271677,51.01006458,0.031718676,70.224518,69.69291,0.531608,0.075003277,63.004717,62.377997,0.62672,0.140905744,57.125037,56.216559,0.908478,0.204452054,51.757806,50.401629,1.356177
SFQ_NHK,SFQ,NHK,82%,1,1,-0.33085,-0.02982,-0.18033,0.30103,0.05402,2.37789,61.3993,62.5796,6.7,2.023436647,3.231098884,0,6.7,6.7,0,0,2.023436647,2.023436647,0,0,3.231098884,3.231098884,0,85.41109958,76.50458384,67.16938761,57.57644136,0,85.41109958,85.41109958,0,0,76.50458384,76.50458384,0,0,67.16938761,67.16938761,0,0,57.57644136,57.57644136,0,-0.2632,-0.01277,-0.13798,0.25043,0.03801,-0.64551,215.6528,-0.37664,-0.1006,70.02180472,62.70242774,56.64271677,51.01006458,0.031718676,70.224518,69.69291,0.531608,0.075003277,63.004717,62.377997,0.62672,0.140905744,57.125037,56.216559,0.908478,0.204452054,51.757806,50.401629,1.356177
SFR_NHK,SFR,NHK,93%,1,1,-0.30678,-0.01933,-0.16306,0.28745,0.04625,2.38,61.9039,63.4507,8.85,2.026422822,3.24422564,0,8.85,8.85,0,0,2.026422822,2.026422822,0,0,3.24422564,3.24422564,0,85.41846216,76.50152604,67.17209388,57.58162676,0,85.41846216,85.41846216,0,0,76.50152604,76.50152604,0,0,67.17209388,67.17209388,0,0,57.58162676,57.58162676,0,-0.2632,-0.01277,-0.13798,0.25043,0.03801,-0.64551,215.6528,-0.37664,-0.1006,70.02180472,62.70242774,56.64271677,51.01006458,0.031718676,70.224518,69.69291,0.531608,0.075003277,63.004717,62.377997,0.62672,0.140905744,57.125037,56.216559,0.908478,0.204452054,51.757806,50.401629,1.356177
SFS_NHK,SFS,NHK,79%,1,1,-0.31812,-0.03758,-0.17785,0.28054,0.05637,2.38002,62.8343,68.6143,6.75,2.220722752,4.731430379,0,6.75,6.75,0,0.204201519,2.605946589,2.203741752,0.402204837,0.010143718,4.759464256,4.72704982,0.032414436,86.63671104,78.31210116,69.48028144,60.25746241,0.343322521,86.8060455,85.67538895,1.13065655,0.483970741,78.45961859,77.01435659,1.445262,0.515321727,69.62458173,68.10728538,1.51729635,0.477781124,60.40952083,58.97194825,1.43757258,-0.2632,-0.01277,-0.13798,0.25043,0.03801,-0.64551,215.6528,-0.37664,-0.1006,70.02180472,62.70242774,56.64271677,51.01006458,0.031718676,70.224518,69.69291,0.531608,0.075003277,63.004717,62.377997,0.62672,0.140905744,57.125037,56.216559,0.908478,0.204452054,51.757806,50.401629,1.356177
SFU_NHK,SFU,NHK,93%,1,1,-0.26761,-0.01551,-0.14156,0.2521,0.03974,2.46421,36.6908,86.5404,9.553818604,2.107604924,6.870963379,2.253454214,11.45,5.4,6.05,0.146904527,2.327536078,2.025745242,0.301790836,2.035122391,9.915644205,5.259515187,4.656129018,85.42410504,76.83303592,67.9200952,58.71358138,0.155932426,85.90057178,85.26549611,0.63507567,0.397646501,77.75344204,76.56136824,1.1920738,0.720229665,69.35908742,67.42756615,1.93152127,1.023015956,60.57646572,58.0351138,2.54135192,-0.2632,-0.01277,-0.13798,0.25043,0.03801,-0.64551,215.6528,-0.37664,-0.1006,70.02180472,62.70242774,56.64271677,51.01006458,0.031718676,70.224518,69.69291,0.531608,0.075003277,63.004717,62.377997,0.62672,0.140905744,57.125037,56.216559,0.908478,0.204452054,51.757806,50.401629,1.356177
