Coupling,SF,NH,y1,y2,y3,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72
SFS_NHM,SFS,NHM,64%,0,1,-0.31812,-0.03758,-0.17785,0.28054,0.05637,2.38002,62.8343,68.6143,6.75,2.220722752,4.731430379,0,6.75,6.75,0,0.204201519,2.605946589,2.203741752,0.402204837,0.010143718,4.759464256,4.72704982,0.032414436,86.63671104,78.31210116,69.48028144,60.25746241,0.343322521,86.8060455,85.67538895,1.13065655,0.483970741,78.45961859,77.01435659,1.445262,0.515321727,69.62458173,68.10728538,1.51729635,0.477781124,60.40952083,58.97194825,1.43757258,-0.28137,0.06795,-0.10671,0.34932,0.0163,-0.80377,34.6754,-0.45276,-0.1378,59.75444732,52.6502861,47.66877823,43.95211333,0.021465641,59.784203,59.753846,0.030357,0.087533456,52.771625,52.647834,0.123791,0.059158675,47.750784,47.667121,0.083663,0.054961996,43.953653,43.875925,0.077728
SFU_NHM,SFU,NHM,84%,1,1,-0.26761,-0.01551,-0.14156,0.2521,0.03974,2.46421,36.6908,86.5404,9.553818604,2.107604924,6.870963379,2.253454214,11.45,5.4,6.05,0.146904527,2.327536078,2.025745242,0.301790836,2.035122391,9.915644205,5.259515187,4.656129018,85.42410504,76.83303592,67.9200952,58.71358138,0.155932426,85.90057178,85.26549611,0.63507567,0.397646501,77.75344204,76.56136824,1.1920738,0.720229665,69.35908742,67.42756615,1.93152127,1.023015956,60.57646572,58.0351138,2.54135192,-0.28137,0.06795,-0.10671,0.34932,0.0163,-0.80377,34.6754,-0.45276,-0.1378,59.75444732,52.6502861,47.66877823,43.95211333,0.021465641,59.784203,59.753846,0.030357,0.087533456,52.771625,52.647834,0.123791,0.059158675,47.750784,47.667121,0.083663,0.054961996,43.953653,43.875925,0.077728
SFR_NHO,SFR,NHO,74%,1,1,-0.30678,-0.01933,-0.16306,0.28745,0.04625,2.38,61.9039,63.4507,8.85,2.026422822,3.24422564,0,8.85,8.85,0,0,2.026422822,2.026422822,0,0,3.24422564,3.24422564,0,85.41846216,76.50152604,67.17209388,57.58162676,0,85.41846216,85.41846216,0,0,76.50152604,76.50152604,0,0,67.17209388,67.17209388,0,0,57.58162676,57.58162676,0,-0.33254,0.07276,-0.12989,0.4053,0.02081,-1.11037,271.228,-0.39143,-0.1245,41.94530465,30.63083724,22.99226958,17.72955981,0,41.94530465,41.94530465,0,0,30.63083724,30.63083724,0,0,22.99226958,22.99226958,0,0,17.72955981,17.72955981,0
SFU_NHO,SFU,NHO,70%,0,1,-0.26761,-0.01551,-0.14156,0.2521,0.03974,2.46421,36.6908,86.5404,9.553818604,2.107604924,6.870963379,2.253454214,11.45,5.4,6.05,0.146904527,2.327536078,2.025745242,0.301790836,2.035122391,9.915644205,5.259515187,4.656129018,85.42410504,76.83303592,67.9200952,58.71358138,0.155932426,85.90057178,85.26549611,0.63507567,0.397646501,77.75344204,76.56136824,1.1920738,0.720229665,69.35908742,67.42756615,1.93152127,1.023015956,60.57646572,58.0351138,2.54135192,-0.33254,0.07276,-0.12989,0.4053,0.02081,-1.11037,271.228,-0.39143,-0.1245,41.94530465,30.63083724,22.99226958,17.72955981,0,41.94530465,41.94530465,0,0,30.63083724,30.63083724,0,0,22.99226958,22.99226958,0,0,17.72955981,17.72955981,0
SFA_NHQ,SFA,NHQ,84%,1,1,-0.29623,0.01696,-0.13964,0.31319,0.03113,2.4681,38.7961,74.8027,8.623918884,2.268539289,5.999301742,1.646567453,9.8,6.25,3.55,0.173879369,2.648494171,2.029039421,0.61945475,1.413325194,7.963039621,4.808846015,3.154193606,85.25853037,76.59894326,67.62569951,58.42114321,0.138752196,85.7012271,85.0134391,0.687788,0.337633289,77.49881989,76.18195821,1.31686168,0.596928682,68.98277962,67.01006955,1.97271007,0.836064155,60.09351242,57.66325099,2.43026143,-0.28795,0.07827,-0.10484,0.36622,0.01501,-0.64702,232.3742,-0.36626,-0.1146,71.12671817,63.82652504,57.56187854,51.50911734,0.237766534,72.497791,69.912175,2.585616,0.461879749,65.454768,62.245949,3.208819,0.74424566,59.370148,55.743934,3.626214,0.995338288,53.585042,49.509367,4.075675
SFB_NHR,SFB,NHR,92%,1,1,-0.30464,-0.00266,-0.15365,0.30198,0.03909,2.47793,47.2705,73.3896,7.745996173,2.07043213,5.399675133,1.582544258,8.4,5.45,2.95,0.196747588,2.319302461,2.02751094,0.291791521,0.625499441,6.312091571,5.14003891,1.172052661,84.55188441,75.47795953,66.24939984,56.87500009,0.246676166,84.93502751,84.44804018,0.48698733,0.486662432,76.20550202,75.27085161,0.93465041,0.637030389,67.20249417,65.97901599,1.22347818,0.716303402,57.92784502,56.56992925,1.35791577,-0.28146,0.07568,-0.10289,0.35714,0.01482,-0.6563,221.7472,-0.35426,-0.1089,69.73418686,62.29794643,56.18473974,50.57246452,0.032025573,69.777617,69.732326,0.045291,0.04783436,62.362815,62.295167,0.067648,0.075909327,56.287681,56.180329,0.107352,0.078762503,50.679275,50.567888,0.111387
SFC_NHR,SFC,NHR,94%,1,1,-0.30003,0.02994,-0.13504,0.32997,0.02763,2.46413,31.9266,64.1499,6.003773494,2.278443929,7.13388252,1.200286011,9.05,4.6,4.45,0.312968145,2.894965518,2.029814441,0.865151077,1.022204282,7.619875327,4.25470328,3.365172047,86.12797986,78.08708309,69.66807494,60.94424748,0.527057548,87.40455516,85.20722457,2.19733059,0.787124185,80.02067841,76.48715847,3.53351994,1.0137253,72.16830348,67.38305452,4.78524896,1.202296509,63.85573086,58.2107877,5.64494316,-0.28146,0.07568,-0.10289,0.35714,0.01482,-0.6563,221.7472,-0.35426,-0.1089,69.73418686,62.29794643,56.18473974,50.57246452,0.032025573,69.777617,69.732326,0.045291,0.04783436,62.362815,62.295167,0.067648,0.075909327,56.287681,56.180329,0.107352,0.078762503,50.679275,50.567888,0.111387
SFU_NHR,SFU,NHR,99%,1,1,-0.26761,-0.01551,-0.14156,0.2521,0.03974,2.46421,36.6908,86.5404,9.553818604,2.107604924,6.870963379,2.253454214,11.45,5.4,6.05,0.146904527,2.327536078,2.025745242,0.301790836,2.035122391,9.915644205,5.259515187,4.656129018,85.42410504,76.83303592,67.9200952,58.71358138,0.155932426,85.90057178,85.26549611,0.63507567,0.397646501,77.75344204,76.56136824,1.1920738,0.720229665,69.35908742,67.42756615,1.93152127,1.023015956,60.57646572,58.0351138,2.54135192,-0.28146,0.07568,-0.10289,0.35714,0.01482,-0.6563,221.7472,-0.35426,-0.1089,69.73418686,62.29794643,56.18473974,50.57246452,0.032025573,69.777617,69.732326,0.045291,0.04783436,62.362815,62.295167,0.067648,0.075909327,56.287681,56.180329,0.107352,0.078762503,50.679275,50.567888,0.111387
SFA_NHS,SFA,NHS,86%,1,1,-0.29623,0.01696,-0.13964,0.31319,0.03113,2.4681,38.7961,74.8027,8.623918884,2.268539289,5.999301742,1.646567453,9.8,6.25,3.55,0.173879369,2.648494171,2.029039421,0.61945475,1.413325194,7.963039621,4.808846015,3.154193606,85.25853037,76.59894326,67.62569951,58.42114321,0.138752196,85.7012271,85.0134391,0.687788,0.337633289,77.49881989,76.18195821,1.31686168,0.596928682,68.98277962,67.01006955,1.97271007,0.836064155,60.09351242,57.66325099,2.43026143,-0.24617,0.01468,-0.11575,0.26085,0.02568,-0.64606,215.9221,-0.37491,-0.1030,70.00483417,62.70504706,56.6575529,51.05166816,0.259667234,71.317575,69.661433,1.656142,0.466600969,64.795322,62.384071,2.411251,0.647163891,59.365088,56.202492,3.162596,0.810124157,54.229909,50.363647,3.866262
SFO_NHS,SFO,NHS,89%,1,1,-0.2819,-0.03351,-0.1577,0.24839,0.05006,2.52866,53.2751,36.1262,6.945038764,2.223376859,8.653471693,0.126674828,7.15,6.9,0.25,0.176981283,2.305039182,2.047402865,0.257636317,0.04017559,8.713208364,8.598401014,0.11480735,84.50207059,75.10917118,65.44349599,55.62086974,0.052708509,84.52611982,84.44558115,0.08053867,0.055376429,75.13363618,75.03932207,0.09431411,0.058146233,65.47023668,65.38666314,0.08357354,0.079869371,55.65749303,55.5394668,0.11802623,-0.24617,0.01468,-0.11575,0.26085,0.02568,-0.64606,215.9221,-0.37491,-0.1030,70.00483417,62.70504706,56.6575529,51.05166816,0.259667234,71.317575,69.661433,1.656142,0.466600969,64.795322,62.384071,2.411251,0.647163891,59.365088,56.202492,3.162596,0.810124157,54.229909,50.363647,3.866262
SFD_NHT,SFD,NHT,68%,0,1,-0.27867,0.01373,-0.13247,0.2924,0.03001,2.47407,37.1512,66.5123,7.742180844,2.297013026,7.707454709,0.646048755,8.95,4.7,4.25,0.242951038,2.861650247,2.205665509,0.655984738,0.839584109,7.988272654,5.598660554,2.3896121,86.12318486,78.05955219,69.65278154,60.97767558,0.3351857,87.7197808,85.76118253,1.95859827,0.525488362,80.68906734,77.60673176,3.08233558,0.722377673,73.13259813,69.1212733,4.01132483,0.861624999,65.0058404,60.40106322,4.60477718,-0.28842,0.06449,-0.11197,0.35291,0.01776,-0.66546,218.5299,-0.36689,-0.0576,74.19169768,67.51349229,61.83623556,56.42351201,2.842444673,74.262792,70.533701,3.729091,3.06445099,67.593376,63.331295,4.262081,3.117699701,61.920778,57.33458,4.586198,3.068793069,56.50937,51.810409,4.698961
SFF_NHU,SFF,NHU,95%,1,1,-0.26973,0.01875,-0.12549,0.28848,0.02729,2.4616,32.1068,45.9094,7.677807201,2.117431179,9.079770094,1.437780908,12.15,5.1,7.05,0.30511126,2.955716572,2.025766757,0.929949815,1.411909742,9.671866418,3.834383914,5.837482504,85.83061353,77.72434099,69.3792964,60.6778309,0.399121713,86.25599639,85.15161995,1.10437644,0.654661612,78.45409446,76.40300199,2.05109247,0.964305625,70.82653086,67.21581996,3.6107109,1.203772178,62.94457736,57.8058633,5.13871406,-0.29487,0.06566,-0.11461,0.36053,0.01822,-0.85276,221.428,-0.38694,-0.1145,59.50858966,51.10692858,45.05240618,40.24655714,0.374482835,59.685542,58.333881,1.351661,0.515957978,51.262764,49.529892,1.732872,0.614491413,45.234658,43.158456,2.076202,0.687208915,40.41355,38.153084,2.260466
SFE_NHV,SFE,NHV,94%,1,1,-0.29014,-0.00186,-0.146,0.28828,0.03697,2.45812,34.6641,41.2663,9.580702493,2.131816004,8.391878711,1.642278256,10.75,5.1,5.65,0.275171048,2.969848481,2.015596674,0.954251807,0.741569936,10.52057508,6.752962313,3.767612767,85.47544721,77.05377966,68.30592501,59.25745988,0.163284766,85.85058359,85.34879214,0.50179145,0.446108819,77.80988474,76.55526806,1.25461668,0.797315501,69.41391783,67.40544262,2.00847521,1.100507857,60.63125037,58.02591628,2.60533409,-0.28201,0.0686,-0.1067,0.35061,0.01624,-0.65523,215.8249,-0.35785,-0.1182,70.46662634,63.372785,57.62657468,52.30531147,0.109622764,70.601057,70.446027,0.15503,0.119774696,63.519665,63.350278,0.169387,0.107352244,57.758221,57.606402,0.151819,0.093333852,52.419767,52.287773,0.131994
SFH_NHV,SFH,NHV,96%,1,1,-0.29398,-0.05666,-0.17532,0.23732,0.06476,2.46388,28.5219,67.0141,6.950619159,2.458578705,8.318665517,0.960334366,8,6.2,1.8,0.594924477,3.076966475,2.034121767,1.042844708,0.833140328,8.923704388,7.383258088,1.5404463,85.30046059,76.65545736,67.77094347,58.68350995,0.191763176,85.55391464,85.10004257,0.45387207,0.400086315,77.13224221,76.23840148,0.89384073,0.638266378,68.46732037,67.11014598,1.35717439,0.861212119,59.51526896,57.79984669,1.71542227,-0.28201,0.0686,-0.1067,0.35061,0.01624,-0.65523,215.8249,-0.35785,-0.1182,70.46662634,63.372785,57.62657468,52.30531147,0.109622764,70.601057,70.446027,0.15503,0.119774696,63.519665,63.350278,0.169387,0.107352244,57.758221,57.606402,0.151819,0.093333852,52.419767,52.287773,0.131994
SFJ_NHW,SFJ,NHW,83%,1,1,-0.28192,-0.03347,-0.1577,0.24845,0.05005,2.52867,53.2705,36.19,6.945038764,2.226715084,8.650741036,0.126674828,7.15,6.9,0.25,0.178773629,2.309169024,2.051406774,0.25776225,0.042894699,8.719231618,8.597237929,0.121993689,84.47265217,75.10787426,65.45006556,55.62521281,0.058442973,84.49963205,84.41316275,0.0864693,0.061022475,75.13573325,75.04280855,0.0929247,0.062186309,65.47874525,65.38919823,0.08954702,0.087294676,55.66536139,55.53999584,0.12536555,-0.27765,0.04352,-0.11707,0.32117,0.02133,-0.66125,216.2157,-0.34284,-0.1091,70.45994219,63.23217452,57.33940245,51.93653967,0.154008375,70.811828,70.380648,0.43118,0.199754486,63.72997,63.058821,0.671149,0.324479567,58.081108,57.023449,1.057659,0.485988924,52.872566,51.513214,1.359352
SFJ_NHX,SFJ,NHX,71%,1,1,-0.28192,-0.03347,-0.1577,0.24845,0.05005,2.52867,53.2705,36.19,6.945038764,2.226715084,8.650741036,0.126674828,7.15,6.9,0.25,0.178773629,2.309169024,2.051406774,0.25776225,0.042894699,8.719231618,8.597237929,0.121993689,84.47265217,75.10787426,65.45006556,55.62521281,0.058442973,84.49963205,84.41316275,0.0864693,0.061022475,75.13573325,75.04280855,0.0929247,0.062186309,65.47874525,65.38919823,0.08954702,0.087294676,55.66536139,55.53999584,0.12536555,-0.28314,0.06364,-0.10975,0.34678,0.01737,-0.6662,229.7503,-0.36888,-0.0958,70.03328108,62.67278048,56.55876342,50.86910233,1.267526937,70.301636,68.540484,1.761152,1.460281021,62.951652,60.802415,2.149237,1.551725116,56.820678,54.430387,2.390291,1.577841281,51.099678,48.562251,2.537427
SFG_NHY,SFG,NHY,95%,1,1,-0.31865,0.03034,-0.14416,0.34899,0.02977,2.46446,32.3119,87.4884,7.840315135,2.069170749,5.555228217,0.869762727,8.6,7.05,1.55,0.161341703,2.321142681,2.02350354,0.297639141,1.114881435,6.580273551,4.572198596,2.008074955,85.63585545,77.20369002,68.46441275,59.40187121,0.285143497,86.1072366,85.39823825,0.70899835,0.700800793,78.08156346,76.58678664,1.49477682,1.12519177,69.71909331,67.47287659,2.24621672,1.489587115,60.94953245,58.08870866,2.86082379,-0.29105,-0.03559,-0.16332,0.25546,0.05221,-0.84203,213.441,-0.38643,-0.1101,57.87710297,48.93272736,42.5887142,37.6382721,0.018297778,57.89915283,57.8407313,0.05842153,0.025588431,48.95718864,48.89772282,0.05946582,0.030648059,42.61833208,42.54871622,0.06961586,0.036872671,37.67622343,37.59100754,0.08521589
SFK_NHZ,SFK,NHZ,84%,1,1,-0.271,-0.03567,-0.15333,0.23533,0.04995,2.52915,54.1076,33.3708,7.662740642,2.258412711,10.02340993,0.590465193,8.5,6.85,1.65,0.138831833,2.316527206,2.040245859,0.276281347,0.290654916,10.35434691,9.551177938,0.803168972,84.5125069,75.16092933,65.51052988,55.68677064,0.049075364,84.54918086,84.42434435,0.12483651,0.068269462,75.20697801,75.04591294,0.16106507,0.08712847,65.55364782,65.38162084,0.17202698,0.090848926,55.73376812,55.53757422,0.1961939,-0.27908,0.01931,-0.12989,0.29839,0.02827,-0.64862,228.2135,-0.36174,-0.1113,70.82877904,63.32561765,56.87829233,50.64450729,0.97700886,73.798332,69.563617,4.234715,1.286249341,67.28376,61.597002,5.686758,1.49692802,61.590698,54.808027,6.782671,1.609891578,55.906733,48.365438,7.541295
